API Name,Endpoint,Method,Integrated,Testing Status,Completion %
DELETE /api/accounts/:id,/api/accounts/:id,DELETE,Yes,Automated coverage missing,72
POST /api/accounts/connect,/api/accounts/connect,POST,Yes,Automated coverage missing,72
GET /api/accounts,/api/accounts,GET,Yes,Automated coverage missing,72
POST /api/accounts,/api/accounts,POST,Yes,Automated coverage missing,72
GET /api/admin/login-accounts,/api/admin/login-accounts,GET,Yes,Automated coverage missing,72
POST /api/admin/login-accounts,/api/admin/login-accounts,POST,Yes,Automated coverage missing,72
GET /api/admin/pending-requests,/api/admin/pending-requests,GET,Yes,Automated coverage missing,72
PATCH /api/admin/upgrade-requests/:id,/api/admin/upgrade-requests/:id,PATCH,Yes,Automated coverage missing,72
GET /api/admin/upgrade-requests,/api/admin/upgrade-requests,GET,Yes,Automated coverage missing,72
GET /api/admin/users/:id/campaigns,/api/admin/users/:id/campaigns,GET,Yes,Automated coverage missing,72
GET /api/admin/users/:id/client-lists,/api/admin/users/:id/client-lists,GET,Yes,Automated coverage missing,72
GET /api/admin/users/:id/drafts,/api/admin/users/:id/drafts,GET,Yes,Automated coverage missing,72
PATCH /api/admin/users/:id/reset-password,/api/admin/users/:id/reset-password,PATCH,Yes,Automated coverage missing,72
GET /api/admin/users/:id,/api/admin/users/:id,GET,Yes,Automated coverage missing,72
PATCH /api/admin/users/:id/status,/api/admin/users/:id/status,PATCH,Yes,Automated coverage missing,72
GET /api/admin/users/:id/subscription,/api/admin/users/:id/subscription,GET,Yes,Automated coverage missing,72
PATCH /api/admin/users/:id/subscription,/api/admin/users/:id/subscription,PATCH,Yes,Automated coverage missing,72
GET /api/admin/users,/api/admin/users,GET,Yes,Automated coverage missing,72
POST /api/admin/users,/api/admin/users,POST,Yes,Automated coverage missing,72
GET /api/alerts,/api/alerts,GET,Yes,Automated coverage missing,72
POST /api/auth/change-password,/api/auth/change-password,POST,Yes,Automated coverage missing,72
POST /api/auth/forgot-password,/api/auth/forgot-password,POST,Yes,Automated coverage missing,72
POST /api/auth/login,/api/auth/login,POST,Yes,Automated coverage missing,72
POST /api/auth/logout,/api/auth/logout,POST,Yes,Automated coverage missing,72
GET /api/auth/me,/api/auth/me,GET,Yes,Automated coverage missing,72
POST /api/auth/request-access,/api/auth/request-access,POST,Yes,Automated coverage missing,72
POST /api/auth/reset-password,/api/auth/reset-password,POST,Yes,Automated coverage missing,72
GET /api/billing/invoice,/api/billing/invoice,GET,Yes,Automated coverage missing,72
POST /api/billing/upgrade,/api/billing/upgrade,POST,Yes,Automated coverage missing,72
PUT /api/calendar/events/:id,/api/calendar/events/:id,PUT,Yes,Automated coverage missing,72
DELETE /api/calendar/events/:id,/api/calendar/events/:id,DELETE,Yes,Automated coverage missing,72
GET /api/calendar/events,/api/calendar/events,GET,Yes,Automated coverage missing,72
POST /api/calendar/events,/api/calendar/events,POST,Yes,Automated coverage missing,72
GET /api/campaigns/:id/activity,/api/campaigns/:id/activity,GET,Yes,Automated coverage missing,72
POST /api/campaigns/:id/clear-logs,/api/campaigns/:id/clear-logs,POST,Yes,Automated coverage missing,72
GET /api/campaigns/:id/debug,/api/campaigns/:id/debug,GET,Yes,Automated coverage missing,72
GET /api/campaigns/:id/export,/api/campaigns/:id/export,GET,Yes,Automated coverage missing,72
POST /api/campaigns/:id/next-step,/api/campaigns/:id/next-step,POST,Yes,Automated coverage missing,72
POST /api/campaigns/:id/pause,/api/campaigns/:id/pause,POST,Yes,Automated coverage missing,72
GET /api/campaigns/:id/recipients,/api/campaigns/:id/recipients,GET,Yes,Automated coverage missing,72
GET /api/campaigns/:id/replies,/api/campaigns/:id/replies,GET,Yes,Automated coverage missing,72
POST /api/campaigns/:id/replies,/api/campaigns/:id/replies,POST,Yes,Automated coverage missing,72
POST /api/campaigns/:id/resume,/api/campaigns/:id/resume,POST,Yes,Automated coverage missing,72
GET /api/campaigns/:id,/api/campaigns/:id,GET,Yes,Automated coverage missing,72
DELETE /api/campaigns/:id,/api/campaigns/:id,DELETE,Yes,Automated coverage missing,72
POST /api/campaigns/:id/schedule,/api/campaigns/:id/schedule,POST,Yes,Automated coverage missing,72
POST /api/campaigns/:id/start,/api/campaigns/:id/start,POST,Yes,Automated coverage missing,72
GET /api/campaigns/:id/status,/api/campaigns/:id/status,GET,Yes,Automated coverage missing,72
POST /api/campaigns/:id/stop,/api/campaigns/:id/stop,POST,Yes,Automated coverage missing,72
POST /api/campaigns/:id/sync-replies,/api/campaigns/:id/sync-replies,POST,Yes,Automated coverage missing,72
GET /api/campaigns/:id/tracking/:event,/api/campaigns/:id/tracking/:event,GET,Yes,Automated coverage missing,72
POST /api/campaigns/:id/tracking/:event,/api/campaigns/:id/tracking/:event,POST,Yes,Automated coverage missing,72
GET /api/campaigns/custom-lists,/api/campaigns/custom-lists,GET,Yes,Automated coverage missing,72
GET /api/campaigns,/api/campaigns,GET,Yes,Automated coverage missing,72
POST /api/campaigns,/api/campaigns,POST,Yes,Automated coverage missing,72
GET /api/campaigns/stats,/api/campaigns/stats,GET,Yes,Automated coverage missing,72
GET /api/campaigns/tracking/open/:trackingId,/api/campaigns/tracking/open/:trackingId,GET,Yes,Automated coverage missing,72
UNKNOWN /api/client-bin/restore,/api/client-bin/restore,UNKNOWN,Review required,Automated coverage missing,40
GET /api/client-bin,/api/client-bin,GET,Yes,Automated coverage missing,72
POST /api/client-bin,/api/client-bin,POST,Yes,Automated coverage missing,72
PATCH /api/client-data/:id,/api/client-data/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/client-data/:id,/api/client-data/:id,DELETE,Yes,Automated coverage missing,72
GET /api/client-data/bin,/api/client-data/bin,GET,Yes,Automated coverage missing,72
PATCH /api/client-data/bin,/api/client-data/bin,PATCH,Yes,Automated coverage missing,72
POST /api/client-data/bin,/api/client-data/bin,POST,Yes,Automated coverage missing,72
POST /api/client-data/bulk-delete,/api/client-data/bulk-delete,POST,Yes,Automated coverage missing,72
UNKNOWN /api/client-data/bulk-save,/api/client-data/bulk-save,UNKNOWN,Review required,Automated coverage missing,40
PATCH /api/client-data/bulk-update,/api/client-data/bulk-update,PATCH,Yes,Automated coverage missing,72
POST /api/client-data/create,/api/client-data/create,POST,Yes,Automated coverage missing,72
PATCH /api/client-data/custom-lists/:id,/api/client-data/custom-lists/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/client-data/custom-lists/:id,/api/client-data/custom-lists/:id,DELETE,Yes,Automated coverage missing,72
GET /api/client-data/custom-lists,/api/client-data/custom-lists,GET,Yes,Automated coverage missing,72
POST /api/client-data/custom-lists,/api/client-data/custom-lists,POST,Yes,Automated coverage missing,72
POST /api/client-data/duplicates,/api/client-data/duplicates,POST,Yes,Automated coverage missing,72
GET /api/client-data/extracted,/api/client-data/extracted,GET,Yes,Automated coverage missing,72
POST /api/client-data/extracted,/api/client-data/extracted,POST,Yes,Automated coverage missing,72
PATCH /api/client-data/extracted,/api/client-data/extracted,PATCH,Yes,Automated coverage missing,72
GET /api/client-data/history,/api/client-data/history,GET,Yes,Automated coverage missing,72
GET /api/client-data/list,/api/client-data/list,GET,Yes,Automated coverage missing,72
GET /api/client-data/overview,/api/client-data/overview,GET,Yes,Automated coverage missing,72
GET /api/client-data/paste-workspace,/api/client-data/paste-workspace,GET,Yes,Automated coverage missing,72
PUT /api/client-data/paste-workspace,/api/client-data/paste-workspace,PUT,Yes,Automated coverage missing,72
POST /api/client-data/paste,/api/client-data/paste,POST,Yes,Automated coverage missing,72
POST /api/client-data/selected-sheet,/api/client-data/selected-sheet,POST,Yes,Automated coverage missing,72
GET /api/client-data/selected-sheets,/api/client-data/selected-sheets,GET,Yes,Automated coverage missing,72
GET /api/client-data/sheets,/api/client-data/sheets,GET,Yes,Automated coverage missing,72
POST /api/client-data/use-for-campaign,/api/client-data/use-for-campaign,POST,Yes,Automated coverage missing,72
PATCH /api/client-records/:id,/api/client-records/:id,PATCH,Yes,Automated coverage missing,72
POST /api/client-records/bulk-delete,/api/client-records/bulk-delete,POST,Yes,Automated coverage missing,72
POST /api/client-records/bulk-update,/api/client-records/bulk-update,POST,Yes,Automated coverage missing,72
UNKNOWN /api/client-records/bulk,/api/client-records/bulk,UNKNOWN,Review required,Automated coverage missing,40
POST /api/client-records/detect-duplicates,/api/client-records/detect-duplicates,POST,Yes,Automated coverage missing,72
POST /api/client-records/move-duplicates-to-bin,/api/client-records/move-duplicates-to-bin,POST,Yes,Automated coverage missing,72
POST /api/client-sheets/:id/create-selected-list,/api/client-sheets/:id/create-selected-list,POST,Yes,Automated coverage missing,72
GET /api/client-sheets/:id,/api/client-sheets/:id,GET,Yes,Automated coverage missing,72
PATCH /api/client-sheets/:id,/api/client-sheets/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/client-sheets/:id,/api/client-sheets/:id,DELETE,Yes,Automated coverage missing,72
POST /api/client-sheets/:id/rows,/api/client-sheets/:id/rows,POST,Yes,Automated coverage missing,72
GET /api/client-sheets,/api/client-sheets,GET,Yes,Automated coverage missing,72
POST /api/client-sheets,/api/client-sheets,POST,Yes,Automated coverage missing,72
POST /api/client-sheets/upload,/api/client-sheets/upload,POST,Yes,Automated coverage missing,72
GET /api/credits,/api/credits,GET,Yes,Automated coverage missing,72
GET /api/dashboard/activity,/api/dashboard/activity,GET,Yes,Automated coverage missing,72
GET /api/dashboard/overview,/api/dashboard/overview,GET,Yes,Automated coverage missing,72
POST /api/draft-file-text,/api/draft-file-text,POST,Yes,Automated coverage missing,72
GET /api/drafts/:id,/api/drafts/:id,GET,Yes,Automated coverage missing,72
PATCH /api/drafts/:id,/api/drafts/:id,PATCH,Yes,Automated coverage missing,72
DELETE /api/drafts/:id,/api/drafts/:id,DELETE,Yes,Automated coverage missing,72
GET /api/drafts,/api/drafts,GET,Yes,Automated coverage missing,72
POST /api/drafts,/api/drafts,POST,Yes,Automated coverage missing,72
